"Name","Address","City","Cuisine","PriceRange","Rating","ReviewCount","Phone","Source","Region"
"Sala'o Cuban Restaurant & Bar","1642 SW 8th St","Miami, FL 33135","Cuban","$$$","4.9/5 Google","2220","N/A","Yelp","Little Havana"
"Ciao Havana","1620 SW 8th St","Miami, FL 33135","Cuban-Italian","$$$","4.7/5 Google","86","N/A","Web search","Little Havana"
"Habana Con B","SW 8th St","Miami, FL 33135","Cuban","$$","4.9/5 Google","107","N/A","Web search","Little Havana"
"Old's Havana Cuban Bar & Cocina","1442 SW 8th St","Miami, FL 33135","Cuban","$$","4.9/5 Google","5005","786-518-2196","Yelp","Little Havana"
"Tumbao Calle 8","SW 8th St","Miami, FL 33135","Cuban/Latin","$$","N/A","N/A","N/A","Web search","Little Havana"
"Plaza Seafood Market","3114 NW 17th Ave","Miami, FL 33142","Seafood","$$","8.4/10 Infatuation","N/A","N/A","Infatuation","Allapattah"
"Tipico Hondureño","3002 NW 7th Ave","Miami, FL 33127","Honduran","$$","3.6/5 Google","68","N/A","Infatuation","Wynwood"
"Papo Llega Y Pon","2928 NW 17th Ave","Miami, FL 33142","Sandwiches/Cuban","$","7.7/10 Infatuation","N/A","N/A","Infatuation","Allapattah"
"Slab Daddy BBQ","795 NW 20th St","Miami, FL 33127","BBQ","$$","8.1/10 Infatuation","N/A","N/A","Infatuation","Wynwood"
"Subs On The Run","2801 NW 7th Ave","Miami, FL 33127","Sandwiches","$","7.4/10 Infatuation","N/A","N/A","Infatuation","Wynwood"
"Jon & Vinny's","1100 NW 23rd St","Miami, FL 33127","Italian","$$$","7.6/10 Infatuation","N/A","N/A","Infatuation","Wynwood"
"Ranchito Mi Peru 2","2102 NW 22nd Ct","Miami, FL 33142","Peruvian","$$","7.9/10 Infatuation","N/A","N/A","Infatuation","Allapattah"
"Conch Town USA","3637 NW 17th Ave","Miami, FL 33142","Bahamian Seafood","$$","8.3/10 Infatuation","N/A","N/A","Infatuation","Allapattah"
"Club Tipico Dominicano","1344 NW 36th St","Miami, FL 33142","Dominican","$$","4.2/5 Google","362","N/A","Infatuation","Allapattah"
"Mexico 1810 Taqueria","1778 NW 36th St","Miami, FL 33142","Mexican","$$","4.2/5 Google","248","N/A","Infatuation","Allapattah"
"Hometown Barbecue","1200 NW 22nd St","Miami, FL 33142","BBQ","$$","4.1/5 Google","451","N/A","Infatuation","Allapattah"
"Jacqueline's Fried Chicken","1702 NW 36th St","Miami, FL 33142","Dominican Fried Chicken","$","7.3/10 Infatuation","N/A","N/A","Infatuation","Allapattah"
"Kiki On The River","450 NW North River Dr","Miami, FL 33128","Greek/Mediterranean","$$$$","3.4/5 Google","795","N/A","Yelp","Downtown Miami"
"Clive's Cafe","5890 NW 2nd Ave","Miami, FL 33127","Jamaican","$$","4.2/5 Google","294","N/A","Infatuation","Wynwood"
"Fiorito","5555 NE 2nd Ave","Miami, FL 33137","Argentinian","$$$","4.5/5 Google","663","N/A","Infatuation","Design District"
"Cuckoo Clock Brauhaus","99 NW 54th St","Miami, FL 33127","German","$$$","4.9/5 Google","151","N/A","Infatuation","Wynwood"
"Naomi's Garden Restaurant & Lounge","650 NW 71st St","Miami, FL 33150","Caribbean/Haitian","$$","3.7/5 Google","370","N/A","Infatuation","Little Haiti"
"Sur","5929 NW 2nd Ave","Miami, FL 33127","Argentinian","$$$","8.3/10 Infatuation","N/A","N/A","Infatuation","Wynwood"
"Chef Creole Seasoned Kitchen","200 NW 54th St","Miami, FL 33127","Haitian/Creole/Bahamian","$$","4.6/5 Google","706","N/A","Infatuation","Wynwood"
"Piman Bouk Restaurant","5932 NE 2nd Ave","Miami, FL 33137","Haitian","$$","3.5/5 Google","162","N/A","Infatuation","Design District"
"Chez Le Bebe","114 NE 54th St","Miami, FL 33137","Haitian","$","3.4/5 Google","134","N/A","Infatuation","Design District"
"Boia De","5205 NE 2nd Ave","Miami, FL 33137","Italian (Michelin Star)","$$$$","4.6/5 Google","328","N/A","Michelin Guide/Wikipedia","Design District"
"CVI.CHE 105 Dadeland Mall","7276 SW 88th St (Dadeland Mall)","Kendall, FL","Peruvian","$$-$$$","5.0/5 Google","39574","N/A","Tripadvisor","Kendall"
"Pisco Y Nazca Ceviche Gastrobar (Kendall)","N/A","Kendall, FL","Peruvian","$$-$$$","4.8/5 Google","14764","N/A","Tripadvisor","Kendall"
"Patacon Pisao Kendall","N/A","Kendall, FL","Latin/Brew Pub","$$-$$$","4.0/5 Google","288","N/A","Tripadvisor","Kendall"
"The Cheesecake Factory (Dadeland Mall)","7301 N Kendall Dr","Kendall, FL","American","$$-$$$","4.1/5 Google","4643","N/A","Tripadvisor","Kendall"
"Hate Mondays Tavern","N/A","Kendall, FL","American/Caribbean","$$-$$$","4.7/5 Google","280","N/A","Tripadvisor","Kendall"
"Taipa Peruvian Restaurant","N/A","Kendall, FL","Peruvian","$$-$$$","4.6/5 Google","281","N/A","Tripadvisor","Kendall"
"Earl's Kitchen & Bar (Dadeland)","N/A","Kendall, FL","American","$$-$$$","4.4/5 Google","1148","N/A","Tripadvisor","Kendall"
"DiCrespo","N/A","Kendall, FL","Steakhouse/Latin","$$-$$$","4.5/5 Tripadvisor","25+ reviews","N/A","Tripadvisor","Kendall"
"La Vida Misma","N/A","Kendall, FL","Italian/Latin","N/A","4.2/5 Google","189","N/A","Tripadvisor","Kendall"
"Anthony's Coal Fired Pizza (Kendall)","N/A","Kendall, FL","Italian/Pizza","$$-$$$","4.3/5 Google","1122","N/A","Tripadvisor","Kendall"
"La Carreta (Kendall)","N/A","Kendall, FL","Cuban","N/A","4.2/5 Google","6454","N/A","Tripadvisor","Kendall"
"Pubbelly Sushi Dadeland","N/A","Kendall, FL","Japanese/Sushi","N/A","4.6/5 Google","1518","N/A","Tripadvisor","Kendall"
"The Brick American Kitchen & Bar","N/A","Kendall, FL","American","N/A","4.0/5 Google","714","N/A","Tripadvisor","Kendall"
"Ocean One Bar and Grill","N/A","Kendall, FL","Seafood","N/A","N/A","N/A","N/A","Tripadvisor","Kendall"
"Flanigan's Seafood Bar & Grill (Kendall)","N/A","Kendall, FL","Seafood/American","$$-$$$","4.4/5 Google","5765","N/A","Tripadvisor","Kendall"
"La Mesa Kendall","N/A","Kendall, FL","Latin","N/A","N/A","N/A","N/A","Tripadvisor","Kendall"
"French Bistro - Argentinian Steakhouse","N/A","Kendall, FL","Argentinian/French","N/A","4.3/5 Google","295","N/A","Tripadvisor","Kendall"
"Fuegos del Sur (Kendall)","N/A","Kendall, FL","Argentinian","N/A","4.6/5 Google","301","N/A","Tripadvisor","Kendall"
"Tap 42 Kendall","N/A","Kendall, FL","American/Bar","N/A","N/A","N/A","N/A","Tripadvisor","Kendall"
"Rinconcito Cubano of Kendall","N/A","Kendall, FL","Cuban","N/A","4.3/5 Google","185","N/A","Tripadvisor","Kendall"
"Apocalypse BBQ","8695 SW 124th Ave","Miami (Kendall), FL 33176","BBQ","$$","4.5/5 Google","575","N/A","The Infatuation","Kendall"
"Jamaica Kitchen","8736 SW 72nd St","Miami (Kendall), FL 33173","Jamaican","$","4.5/5 Google","725","N/A","The Infatuation","Kendall"
"Ghee Indian Kitchen (Kendall)","8965 SW 72nd Pl","Kendall, FL 33156","Indian","$$","4.3/5 Google","1310","N/A","The Infatuation","Kendall"
"Zaytona Grill","12388 SW 127th Ave","Miami (Kendall), FL 33186","Mediterranean","$$","5.0/5 Google","171","N/A","The Infatuation","Kendall"
"Fonda Sabaneta","8766 W Flagler St","Miami (Sweetwater/Fontainebleau), FL 33174","Colombian","$$","4.9/5 Google","7081","N/A","The Infatuation","Sweetwater"
"Aladdin Market & Grill","5821 SW 137th Ave N","Miami (Kendall), FL 33183","Middle Eastern","$$","4.9/5 Google","484","N/A","The Infatuation","Kendall"
"Shibui Japanese Restaurant","10139 SW 72nd St","Miami (Kendall), FL 33173","Japanese","$$","4.6/5 Google","1260","N/A","The Infatuation","Kendall"
"El Tambo Grill","7118 SW 117th Ave","Miami (Kendall), FL 33183","Peruvian","$$","3.3/5 Google","334","N/A","The Infatuation","Kendall"
"Cafe Oriental","9800 SW 77th Ave","Miami (Kendall), FL 33156","Japanese","$$","4.9/5 Google","147","N/A","The Infatuation","Kendall"
"Vegan Cuban Cuisine","9640 SW 72nd St","Miami (Kendall), FL 33173","Cuban/Vegan","$$","4.8/5 Google","1178","N/A","The Infatuation","Kendall"
"Fritanga Monimbo","7173 SW 117th Ave","Miami (Kendall), FL 33183","Nicaraguan","$$","3.7/5 Google","202","N/A","The Infatuation","Kendall"
"South Garden Chinese Restaurant","10855 SW 72 Street","Miami (Kendall), FL 33173","Chinese","$$","4.1/5 Google","718","N/A","The Infatuation","Kendall"
"Ernesto's Mexican Taco Shop","8845 SW 107th Ave","Miami (Kendall), FL 33176","Mexican","$$","4.1/5 Google","492","N/A","The Infatuation","Kendall"
"Chef Adrianne's Vineyard Restaurant and Bar","N/A","Kendall, FL","American/Wine Country","$$$","4.3/5 Google","2911","N/A","MiamiAndBeaches","Kendall"
"La Cañita (Kendall)","N/A","Kendall, FL","Latin-Caribbean","$$-$$$","N/A","N/A","N/A","MiamiAndBeaches / Yelp","Kendall"
"Amelia's 1931","N/A","Kendall, FL","Cuban-Korean Fusion","$$","4.4/5 Google","486","N/A","MiamiAndBeaches","Kendall"
"Table 55 (Hilton Miami Dadeland)","N/A","Kendall, FL","American/Farm-to-Table","$$-$$$","N/A","N/A","N/A","MiamiAndBeaches","Kendall"
"Inari Sushi Fusion","N/A","Kendall, FL","Japanese-Peruvian","$$","N/A","N/A","N/A","MiamiAndBeaches","Kendall"
"Tacos & Tattoos","N/A","Kendall, FL","Mexican","$$","4.5/5 Google","2875","N/A","MiamiAndBeaches","Kendall"
"Off The Grille","N/A","West Kendall, FL","American","$$","N/A","N/A","N/A","Web search","Kendall"
"Mr & Mrs Bun","N/A","West Kendall, FL","Sandwiches","$","N/A","N/A","N/A","Web search","Kendall"
"Jealous Fork","N/A","West Kendall, FL","American","$$","4.7/5 Google","395","N/A","Web search/Yelp","Kendall"
"Yafa Restaurant and Market","N/A","West Kendall, FL","Middle Eastern","$$","N/A","N/A","N/A","Web search","Kendall"
"Pesto Cafe and Grill","N/A","West Kendall, FL","Italian","$$","4.8/5 Google","281","N/A","Web search","Kendall"
"Two Spoons Peruvian Kitchen","N/A","West Kendall, FL","Peruvian","$$","N/A","N/A","N/A","Web search","Kendall"
"Antojitos Mexicanos Tenorio","N/A","West Kendall, FL","Mexican","$","4.4/5 Google","206","N/A","Web search","Kendall"
"FreshCo Fish Market & Grill","N/A","West Kendall, FL","Seafood","$$","4.7/5 Google","1506","N/A","Web search","Kendall"
"Smoke and Dough","N/A","West Kendall, FL","BBQ","$$","4.4/5 Google","195","N/A","Web search","Kendall"
"Sumaq","N/A","Kendall, FL","Peruvian","$$","N/A","N/A","N/A","Web search","Kendall"
"Serious Sanji","N/A","Kendall, FL","Japanese","$$","N/A","N/A","N/A","Web search","Kendall"
"Flight West","N/A","Kendall, FL","American","$$","N/A","N/A","N/A","Web search","Kendall"
"Disco Donkey","N/A","Kendall, FL","Mexican","$$","N/A","N/A","N/A","Web search","Kendall"
"1986 Steakhouse","N/A","Kendall, FL","Steakhouse","$$$","N/A","N/A","N/A","Web search","Kendall"
"Cotoletta","N/A","Kendall, FL","Italian","$$","4.0/5 Google","79","N/A","Web search","Kendall"
"The Korean Chef","N/A","Kendall, FL","Korean","$$","N/A","N/A","N/A","Yelp","Kendall"
"Carnicero","N/A","Kendall, FL","Latin Steakhouse","$$$","N/A","N/A","N/A","Yelp","Kendall"
"Sufrat Mediterranean Grill (Kendall)","N/A","Kendall, FL","Mediterranean","$$","N/A","N/A","N/A","Yelp","Kendall"
"Umaimon","N/A","Kendall (Dadeland), FL","Japanese","$$-$$$","N/A","N/A","N/A","Web search","Kendall"
"Tacomiendo","N/A","Kendall (Dadeland), FL","Mexican","$$","4.5/5 Google","180","N/A","Web search","Kendall"
"Eleventh Street Pizza (Dadeland)","N/A","Kendall (Dadeland), FL","Pizza","$$","N/A","N/A","N/A","Web search","Kendall"
"Texas de Brazil (Dadeland Mall)","7301 N Kendall Dr","Kendall, FL","Brazilian Steakhouse","$$$$","3.8/5 Google","568","N/A","Web search","Kendall"
"CRAFT South Miami","N/A","South Miami, FL","American/Pizza","$$-$$$","4.9/5 Google","468","N/A","Tripadvisor","South Miami"
"Whisk","N/A","South Miami, FL","American Contemporary","$$-$$$","4.3/5 Tripadvisor","352+ reviews","N/A","Tripadvisor","South Miami"
"Captain's Tavern","N/A","South Miami, FL","American/Seafood","$$-$$$","4.2/5 Tripadvisor","343+ reviews","N/A","Tripadvisor","South Miami"
"Old Lisbon - South Miami","N/A","South Miami, FL","Portuguese/Seafood","$$-$$$","4.6/5 Google","375","N/A","Tripadvisor","South Miami"
"Cafe Panisse","N/A","South Miami, FL","French","$$-$$$","4.6/5 Google","211","N/A","Tripadvisor","South Miami"
"Khoury's Mediterranean Restaurant","N/A","South Miami, FL","Lebanese/Mediterranean","$$-$$$","4.5/5 Google","170","N/A","Tripadvisor","South Miami"
"Bougainvillea's Old Florida Tavern","N/A","South Miami, FL","Bar/Tavern","$","4.3/5 Google","279","N/A","Tripadvisor","South Miami"
"La Crepe Bistro","N/A","South Miami, FL","French/Cafe","$$-$$$","4.0/5 Google","198","N/A","Tripadvisor","South Miami"
"Cafe Bonjour","N/A","South Miami, FL","French/Cafe","$$-$$$","4.5/5 Google","185","N/A","Tripadvisor","South Miami"
"Mano Libera - Marco Giugliano","N/A","South Miami, FL","Italian Contemporary","N/A","5.0/5 Tripadvisor","2+ reviews","N/A","Tripadvisor (Michelin Recommended)","South Miami"
"Deli Lane Cafe","N/A","South Miami, FL","American/Cafe","$$-$$$","3.9/5 Tripadvisor","155+ reviews","N/A","Tripadvisor","South Miami"
"CasaCuba","N/A","South Miami, FL","Cuban","$$-$$$","3.9/5 Google","358","N/A","Tripadvisor","South Miami"
"Clasica Victoria South Miami","N/A","South Miami, FL","Italian/French","$$-$$$","4.4/5 Google","91","N/A","Tripadvisor","South Miami"
"The Boiling Crab","N/A","South Miami, FL","Cajun/Seafood","$$-$$$","4.3/5 Google","256","N/A","Tripadvisor","South Miami"
"Kitchen 57","N/A","South Miami, FL","American","$$-$$$","4.8/5 Google","146","N/A","Tripadvisor","South Miami"
"Root & Bone","N/A","South Miami, FL","American Contemporary","$$-$$$","3.9/5 Tripadvisor","70+ reviews","N/A","Tripadvisor","South Miami"
"Pura Vida - South Miami","N/A","South Miami, FL","Health Food/Cafe","$$-$$$","4.7/5 Google","461","N/A","Tripadvisor","South Miami"
"Town Kitchen & Bar","N/A","South Miami, FL","American/Bar","$$-$$$","3.7/5 Tripadvisor","135+ reviews","N/A","Tripadvisor","South Miami"
"Cracked by Chef Adrianne","N/A","South Miami, FL","American/Bar","$$-$$$","4.0/5 Google","196","N/A","Tripadvisor","South Miami"
"Corteza","N/A","South Miami, FL","Mediterranean/Spanish","$$$$","3.0/5 Tripadvisor","2+ reviews","N/A","Tripadvisor","South Miami"
"La Pizza","N/A","South Miami, FL","Italian/Pizza","$$-$$$","4.2/5 Google","235","N/A","Tripadvisor","South Miami"
"Taste Buds of India","N/A","South Miami, FL","Indian","$$-$$$","4.1/5 Tripadvisor","41+ reviews","N/A","Tripadvisor","South Miami"
"Sunset Tavern","N/A","South Miami, FL","American/Bar","$$-$$$","4.3/5 Google","47","N/A","Tripadvisor","South Miami"
"The Thousand Sunny","N/A","South Miami, FL","Japanese/Anime-themed Comfort Food","$$","4.7/5 Google","282","N/A","Web search","South Miami"
"Habana Vieja","N/A","South Miami, FL","Cuban","$$","N/A","N/A","N/A","Web search","South Miami"
"Flanigan's Seafood Bar & Grill (South Miami)","N/A","South Miami, FL","Seafood/American","$$","N/A","N/A","N/A","Web search","South Miami"
"The Grape Ape","N/A","South Miami, FL","Wine Bar/American","$$","4.6/5 Google","99","N/A","Web search","South Miami"
"Apizza Brooklyn Resto + Vino","N/A","Pinecrest, FL","Italian/Pizza","$$-$$$","4.7/5 Google","286","N/A","Tripadvisor","Pinecrest"
"Platea Miami","N/A","Pinecrest, FL","American/Steakhouse","$$$$","4.5/5 Google","508","N/A","Tripadvisor","Pinecrest"
"Guadalajara","N/A","Pinecrest, FL","Mexican","$$-$$$","4.1/5 Google","330","N/A","Tripadvisor","Pinecrest"
"Trattoria Luna","N/A","Pinecrest, FL","Italian","$$-$$$","4.4/5 Google","157","N/A","Tripadvisor","Pinecrest"
"Flanigan's Seafood Bar and Grill (Pinecrest)","N/A","Pinecrest, FL","American/Bar","$$-$$$","4.1/5 Google","525","N/A","Tripadvisor","Pinecrest"
"Ashoka Indian Restaurant - Pinecrest","N/A","Pinecrest, FL","Indian","$$-$$$","4.6/5 Google","374","N/A","Tripadvisor","Pinecrest"
"Anacapri Italian Restaurant","N/A","Pinecrest, FL","Italian","$$-$$$","4.3/5 Google","411","N/A","Tripadvisor","Pinecrest"
"Miyako Of Dadeland Japanese Restaurant","N/A","Pinecrest, FL","Japanese/Sushi","$$-$$$","3.9/5 Google","144","N/A","Tripadvisor","Pinecrest"
"Piola Pinecrest","N/A","Pinecrest, FL","Italian/Pizza","$$-$$$","3.7/5 Tripadvisor","29+ reviews","N/A","Tripadvisor","Pinecrest"
"Gyu-Kaku Japanese BBQ (Pinecrest)","N/A","Pinecrest, FL","Japanese BBQ","$$-$$$","4.1/5 Tripadvisor","46+ reviews","N/A","Tripadvisor","Pinecrest"
"Mister O1 Extraordinary Pizza (Pinecrest)","N/A","Pinecrest, FL","Pizza","N/A","4.9/5 Google","266","N/A","Tripadvisor","Pinecrest"
"Anthony's Coal Fired Pizza & Wings (Pinecrest)","N/A","Pinecrest, FL","Italian/Pizza","$$-$$$","4.2/5 Google","316","N/A","Tripadvisor","Pinecrest"
"The Cheese Course (Pinecrest)","N/A","Pinecrest, FL","American/European","$$-$$$","4.3/5 Google","135","N/A","Tripadvisor","Pinecrest"
"Pho 79","N/A","Pinecrest, FL","Vietnamese","$$-$$$","4.5/5 Google","355","N/A","Tripadvisor","Pinecrest"
"Ifra's Indian Kitchen","N/A","Pinecrest, FL","Indian","$$-$$$","4.6/5 Google","530","N/A","Tripadvisor","Pinecrest"
"Pincho Factory (Pinecrest)","N/A","Pinecrest, FL","Latin/Burgers","$$-$$$","4.4/5 Google","259","N/A","Tripadvisor","Pinecrest"
"Roasters 'n Toasters","N/A","Pinecrest, FL","Deli/Brunch","$$","4.2/5 Google","226","N/A","Web search","Pinecrest"
"Sushi Maki (Pinecrest)","N/A","Pinecrest, FL","Japanese","$$","N/A","N/A","N/A","Web search","Pinecrest"
"Shaddai Fine Lebanese Cuisine","N/A","Pinecrest, FL","Lebanese","$$-$$$","4.7/5 Google","235","N/A","Web search (Miami New Times)","Pinecrest"
"La Taberna de Ignacio","N/A","Pinecrest, FL","Spanish","$$-$$$","N/A","N/A","N/A","Web search","Pinecrest"
"Alaine's Osteria","7290 SW 168th St, Unit D","Palmetto Bay, FL","Italian","$$","4.4/5 Google","271","N/A","Tripadvisor/Restaurantji","Palmetto Bay"
"Old Cutler Inn","16800 Old Cutler Rd","Palmetto Bay, FL 33157","American/Modern","$$-$$$","4.5/5 Google","115","(305) 419-0893","Yelp/Tripadvisor","Palmetto Bay"
"Golden Rule Seafood","17505 S Dixie Hwy","Palmetto Bay (Miami), FL 33157","Seafood","$$","4.5/5 Google","866+ reviews (Yelp)","(305) 235-0661","Yelp/Restaurantji","Palmetto Bay"
"Aromas Del Peru","17225 S Dixie Hwy, Unit 100","Palmetto Bay, FL","Peruvian","$$","4.9/5 Google","1753","N/A","Restaurantji","Palmetto Bay"
"Caribbean Delite Restaurant","9491 SW 160th St","Palmetto Bay, FL","Caribbean","$$","4.1/5 Google","153","N/A","Restaurantji","Palmetto Bay"
"Sushi Bay","9837 SW 184th St","Palmetto Bay, FL","Japanese","$$","4.6/5 Google","125","N/A","Restaurantji","Palmetto Bay"
"Cuban Guys Restaurants","14685 S Dixie Hwy","Palmetto Bay, FL","Cuban","$","4.5/5 Google","169","N/A","Restaurantji","Palmetto Bay"
"PhoKaholic","17005 S Dixie Hwy","Palmetto Bay, FL","Vietnamese","$$","4.5/5 Google","112","N/A","Restaurantji","Palmetto Bay"
"Soriano Brothers Cuban Cuisine","18005 S Dixie Hwy","Palmetto Bay, FL","Cuban","$","4.2/5 Google","287","N/A","Restaurantji","Palmetto Bay"
"Miller's Ale House (Palmetto Bay)","13603 S Dixie Hwy","Palmetto Bay, FL","American/Bar","$$","4.3/5 Google","485","N/A","Restaurantji","Palmetto Bay"
"Hole In The Wall Tavern","9821 SW 184th St","Palmetto Bay, FL","Bar & Grill","$","4.3/5 Google","248","N/A","Restaurantji","Palmetto Bay"
"Peruvian Ceviches + Bar","N/A","Palmetto Bay, FL","Peruvian","$$","N/A","N/A","N/A","Web search","Palmetto Bay"
"True Food Kitchen (Palmetto Bay)","N/A","Palmetto Bay, FL","Healthy American","$$-$$$","N/A","N/A","N/A","Web search","Palmetto Bay"
"Caffe Portofino","N/A","Palmetto Bay, FL","Italian/Caribbean Fusion","$$-$$$","N/A","N/A","N/A","Web search","Palmetto Bay"
"The Butcher Shop & Deli","N/A","Palmetto Bay, FL","American/Deli","$$","N/A","N/A","N/A","Web search","Palmetto Bay"
"Babe's Meat & Counter","N/A","Palmetto Bay, FL","American/Deli","$$","N/A","N/A","N/A","Web search","Palmetto Bay"
"Shahs of Kabob Palmetto Bay","N/A","Palmetto Bay, FL","Middle Eastern","$$","N/A","N/A","N/A","Web search","Palmetto Bay"
"Bulla Gastrobar (Doral)","11402 NW 41st St","Doral, FL 33178","Spanish Tapas","$$","4.9/5 Google","19896","N/A","Tripadvisor/Provident Resorts","Doral"
"Cooper's Hawk Winery and Restaurant","3585 NW 83rd Ave","Doral, FL 33122","American/International","$$-$$$","4.7/5 Google","4470","N/A","Provident Resorts","Doral"
"Divieto Ristorante - Doral","10650 NW 41st St","Doral, FL 33178","Italian","$$-$$$","4.7/5 Google","696","N/A","Tripadvisor","Doral"
"Dragonfly Izakaya & Fish Market","5241 NW 87th Ave","Doral, FL 33178","Japanese","$$-$$$","4.6/5 Google","2536","N/A","Provident Resorts","Doral"
"El Porton de La Flaca","1460 NW 107th Ave, Suite B","Doral, FL 33172","Colombian","$$","4.7/5 Google","177","N/A","Provident Resorts/Yelp","Doral"
"Famous Dave's BBQ (Doral)","8210 NW 36th St","Miami (Doral), FL 33166","BBQ","$$","4.4/5 Google","5110","N/A","Tripadvisor","Doral"
"MNB Kitchen","2685 NW 105th Ave","Miami (Doral), FL 33172","Steakhouse","$$$","N/A","N/A","N/A","Provident Resorts","Doral"
"Shoma Bazaar","9420 NW 41st St","Doral, FL 33178","Food Hall (multi-cuisine)","$$","N/A","N/A","N/A","Provident Resorts","Doral"
"Sushi Joe","9557 NW 41st St","Doral, FL 33178","Japanese/Sushi","$$","4.6/5 Google","190","N/A","Provident Resorts","Doral"
"The Fatty Crab","2000 NW 87th Ave, Suite 7","Doral, FL 33172","Cajun Seafood","$$","4.6/5 Google","4921","N/A","Provident Resorts","Doral"
"Mordisco Miami","N/A","Doral, FL","Venezuelan/Caribbean","$$-$$$","4.8/5 Google","632","N/A","Tripadvisor","Doral"
"La Tremenda Spanish Cuisine","N/A","Doral, FL","Spanish/Mediterranean","$$$$","4.7/5 Google","1993","N/A","Tripadvisor","Doral"
"Chabella Miami Mexican Fusion","N/A","Doral, FL","Mexican Fusion","$$-$$$","4.8/5 Tripadvisor","307+ reviews","N/A","Tripadvisor","Doral"
"Francisca Charcoal Chicken & Meats (Doral)","N/A","Doral, FL","Venezuelan/Latin","$$$$","4.9/5 Google","29034","N/A","Tripadvisor","Doral"
"Keik Restaurant (Doral)","N/A","Doral, FL","American","$$-$$$","4.9/5 Tripadvisor","60+ reviews","N/A","Tripadvisor","Doral"
"Taikin Asian Cuisine","N/A","Doral, FL","Japanese/Asian Fusion","$$-$$$","4.9/5 Google","16001","N/A","Tripadvisor","Doral"
"Doral Steakhouse","N/A","Doral, FL","Steakhouse","$$$$","4.7/5 Google","4260","N/A","Tripadvisor","Doral"
"Pisco y Nazca Ceviche Gastrobar (Doral)","N/A","Doral, FL","Peruvian","$$-$$$","4.9/5 Google","21598","N/A","Tripadvisor","Doral"
"Blue Matisse","N/A","Doral, FL","Latin","N/A","4.8/5 Google","1599","N/A","Tripadvisor","Doral"
"Bocas House (Doral)","N/A","Doral, FL","Peruvian","$$","4.8/5 Google","16811","N/A","Tripadvisor/Yelp","Doral"
"Baires Grill (Doral)","N/A","Doral, FL","Argentinian Steakhouse","$$-$$$","4.7/5 Google","330","N/A","Web search","Doral"
"Bombay Darbar (Doral)","N/A","Doral, FL","Indian","$$-$$$","4.9/5 Google","368","N/A","Web search (Michelin Recommended)","Doral"
"City Food Hall Doral","N/A","Doral, FL","Food Hall (multi-cuisine)","$$","4.2/5 Google","438","N/A","Web search","Doral"
"The Doral Yard","N/A","Doral, FL","Food Hall (multi-cuisine)","$$","4.6/5 Google","2715","N/A","Web search","Doral"
"Kuba Cabana","N/A","Doral (CityPlace Doral), FL","Cuban","$$-$$$","4.1/5 Google","596","N/A","Web search","Doral"
"Tap 42 - Doral","N/A","Doral, FL","American/Bar","$$","N/A","N/A","N/A","Web search","Doral"
"Copper Blues Rock Pub & Kitchen","N/A","Doral, FL","American","$$","N/A","N/A","N/A","Web search","Doral"
"SuViche (Doral)","N/A","Doral (CityPlace Doral), FL","Sushi/Ceviche","$$-$$$","4.6/5 Google","3925","N/A","Web search","Doral"
"Gyu-Kaku Japanese BBQ (Doral)","N/A","Doral, FL","Japanese BBQ","$$-$$$","N/A","N/A","N/A","Web search","Doral"
"Icebox Cafe (Doral)","N/A","Doral (CityPlace Doral), FL","American","$$","N/A","N/A","N/A","Web search","Doral"
"Novecento (Doral)","N/A","Doral (CityPlace Doral), FL","Argentinian Bistro","$$-$$$","4.7/5 Google","6639","N/A","Web search","Doral"
"Altamura Trattoria","N/A","Doral (Midtown Doral), FL","Italian","$$-$$$","4.8/5 Google","122","N/A","Web search","Doral"
"Lucca Trattoria Doral","N/A","Doral, FL","Italian","$$-$$$","N/A","N/A","N/A","Web search","Doral"
"FINKA Table & Tap","N/A","Doral, FL","American/Farm-to-Table","$$","N/A","N/A","N/A","Yelp","Doral"
"Barra Vieja","N/A","Doral, FL","Latin","$$","4.3/5 Google","81","N/A","Yelp","Doral"
"Fuegos del Sur (Doral)","N/A","Doral, FL","Argentinian","$$-$$$","4.6/5 Google","570","N/A","Yelp","Doral"
"Ohana Sushi","N/A","Doral, FL","Japanese","$$","4.5/5 Google","246","N/A","Yelp","Doral"
"First Watch (Doral)","N/A","Doral, FL","American Breakfast/Brunch","$$","4.3/5 Google","305","N/A","Yelp","Doral"
"Pal Perrero","N/A","Doral, FL","Latin","$","N/A","N/A","N/A","Yelp","Doral"
"Chifa Du Kang Peruvian Chinese Restaurant","N/A","Doral, FL","Peruvian-Chinese","$$","4.9/5 Google","3015","N/A","Yelp","Doral"
"Il Lago Trattoria","N/A","Doral, FL","Italian","$$$","5.0/5 Google","1597","N/A","Web search","Doral"
"Latin Cafe 2000","875 NW 42nd Ave","Miami (MIA Airport area), FL","Cuban","$","4.4/5 Google","750","(305) 642-4700","Burger Beast","MIA Airport Area"
"Bored Cuban","831 NW 42nd Ave","Miami (MIA Airport area), FL","Latin","$","4.4/5 Google","159","(305) 642-0323","Burger Beast","MIA Airport Area"
"Catch of the Day","1050 NW 42nd Ave","Miami (MIA Airport area), FL","Seafood","$$","4.4/5 Google","704","(305) 446-4500","Burger Beast","MIA Airport Area"
